	belief	argument	label	gold_graph	generated_graph	retrieved_graph
142	urbanization creates high crime.	People migrate to cities in order to make money.	counter	[['cities', 'capable of', 'job'], ['job', 'used for', 'make money'], ['make money', 'is not a', 'crime'], ['make money', 'created by', 'urbanization']]	[['cities', '_atlocation', '', '_hasa', 'urbanization']]	[['high', '_hasproperty', 'tall'], ['tall', '_hasproperty', 'skyscrapers'], ['skyscrapers', '_hasa', 'cities']]
1066	executives are not overpaid for the work they do.	Executives work quite hard and deserve their pay.	support	[['executives', 'capable of', 'work quite hard'], ['work quite hard', 'capable of', 'deserve their pay'], ['deserve their pay', 'synonym of', 'not overpaid']]	[['executives', '_usedfor', 'serving justice'], ['serving justice', 'causes', 'not overpaid']]	[['work', 'hasproperty', 'hard']]
2334	Telemarketers has nothing to offer only to rip people off their money	Not all telemarketers are scammers most have enough to offer when you have your money to pay	counter	[['telemarketers', 'capable of', 'enough to offer'], ['enough to offer', 'not has context', 'rip people off'], ['enough to offer', 'not has context', 'scammers']]	[['telemarketers', '_isa', 'scammers']]	[['people', 'usedfor', 'help'], ['help', 'hasprerequisite', 'offer']]
94	Embryotic stem cells can save lives	Embryotic stem cells are something that is in the interest of science	support	[['embryotic stem cells', 'capable of', 'interest of science'], ['embryotic stem cells', 'capable of', 'assist with research'], ['assist with research', 'causes', 'medical discovery'], ['medical discovery', 'capable of', 'save lives']]	[['embryotic stem cells', 'isa', '', '_hasprerequisite', 'make grow'], ['make grow', 'motivatedbygoal', 'save lives']]	[['stem', 'partof', 'plant'], ['plant', '_partof', 'body'], ['body', '_atlocation', 'cells']]
1508	The olympics have lost their luster because with drugs being involved, they don't have the prestige they used to have.	Athletes are tested for drugs and can't compete if illegal substances are found.	counter	"[['athletes', 'capable of', 'tested for drugs'], ['tested for drugs', 'capable of', 'illegal substances'], ['illegal substances', 'causes', ""can't compete""], ['olympics', 'has property', 'athletes'], ['illegal substances', 'synonym of', 'drugs'], ['clean olympics', 'has property', 'retain prestige'], [""can't compete"", 'causes', 'clean olympics']]"	[['athletes', 'capableof', 'clean olympics']]	[['olympics', '_atlocation', 'athlete'], ['athlete', 'isa', 'person'], ['person', 'notdesires', 'drugs'], ['drugs', 'isa', 'substances']]
1407	Racial profiling causes discrimination	Racial profiling shouldn't be allowed as it allows for racism.	support	[['racial profiling', 'part of', 'racism'], ['racism', 'not desires', 'be allowed'], ['racism', 'causes', 'discrimination']]	[['racial profiling', 'isa', 'discrimination']]	[['discrimination', 'causesdesire', 'change_society'], ['change_society', '_causesdesire', 'war'], ['war', '_atlocation', 'military'], ['military', '_hascontext', 'profiling']]
342	Cosmetic surgery is bad.	Autonomy is promoted by cosmetic surgery.	counter	[['cosmetic surgery', 'causes', 'autonomy'], ['autonomy', 'part of', 'self esteem'], ['self esteem', 'is not a', 'bad']]	[['cosmetic surgery', '_isa', 'plastic surgery'], ['plastic surgery', 'hasproperty', 'bad']]	[['surgery', 'isa', 'artifact'], ['artifact', '_partof', 'plant'], ['plant', '_isa', 'henna'], ['henna', 'isa', 'cosmetic']]
2165	People are deterred from committing criminal acts by the death penalty.	If someone knows they can die from doing a crime they are less likely to do it.	support	[['death penalty', 'causes', 'criminal killed'], ['criminal killed', 'has context', 'severe punishment'], ['severe punishment', 'capable of', 'deterring others'], ['deterring others', 'not causes', 'committing criminal acts'], ['criminal killed', 'synonym of', 'die'], ['committing criminal acts', 'synonym of', 'crime']]	[['death penalty', 'hascontext', '', '_isa', 'crime']]	[['death', 'createdby', 'homicide'], ['homicide', 'hascontext', 'crime']]
1538	targeted killing makes the people in the area angry and more radicalized	sometimes dangerous people are cunning and hard to catch.	counter	[['targeted killing', 'has context', 'dangerous people'], ['dangerous people', 'capable of', 'cunning'], ['dangerous people', 'capable of', 'harder to catch'], ['dangerous people', 'is a', 'threat'], ['threat', 'not capable of', 'angry'], ['threat', 'not capable of', 'more radicalized']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hassubevent', 'more radicalized']]	[['angry', '_hasproperty', 'people'], ['people', 'hasproperty', 'dangerous']]
1976	prostitution has been in existence for long and should not be illegal	Most people that are into prostitution are forced into it and it should not be allowed	counter	[['prostitution', 'not has context', 'long standing'], ['long standing', 'synonym of', 'existence for long'], ['prostitution', 'has context', 'forced into it'], ['forced into it', 'desires', 'illegal'], ['long standing', 'desires', 'illegal'], ['forced into it', 'synonym of', 'harmful']]	[['prostitution', 'hasproperty', 'harmful']]	[['prostitution', '_hascontext', 'level'], ['level', 'atlocation', 'garage'], ['garage', '_atlocation', 'person'], ['person', 'notdesires', 'forced']]
331	Cosmetic surgery is bad for the brain.	Self image health is subjective and cosmetic surgery has little impact.	counter	[['better self image', 'part of', 'self image health'], ['better self image', 'is not a', 'bad'], ['better self image', 'has property', 'better thoughts'], ['disfigured people', 'receives action', 'cosmetic surgery'], ['cosmetic surgery', 'capable of', 'looking more normal'], ['looking more normal', 'causes', 'better self image'], ['better thoughts', 'has context', 'brain']]	[['better self image', '_causes', 'improving image'], ['improving image', 'hasprerequisite', 'brain']]	[['surgery', 'isa', 'artifact'], ['artifact', '_partof', 'plant'], ['plant', '_isa', 'henna'], ['henna', 'isa', 'cosmetic']]
349	Missionary work is exploitative.	Missionary work takes advantage of local populations.	support	[['local populations', 'not desires', 'exploitative'], ['exploitative', 'synonym of', 'takes advantage'], ['takes advantage', 'has property', 'ethical violations'], ['ethical violations', 'created by', 'missionary work']]	[['local populations', '_usedfor', 'population'], ['population', 'isa', 'missionary work']]	[['missionary', 'isa', 'worker'], ['worker', 'atlocation', 'work']]
